номер;компания;автор;дата;описание;
567567556;apple;С. Джобс;1981;Персональный копьютер;
765565464;apple;С. Джобс;2003;Музыкальный плеер ipod;
456456456;apple;С. Джобс;2008;Корпус моноблок, для компьютера;
653452242;google;С. Брин;2008;Способ сегментации текста;
42543534534;google;С. Брин;2008;Оснащение пользовательского интерфейса расширением поисковых запросов;
234242342424;yandex;Ю. Зеленков;2018;Способ и система автоматического создания тезауруса;
2423423;yandex;И. Кураленок;2017;Система и способ уточнения результатов поиска;
5365453242;yandex;В. Шарандо;2019;Устройство для доставки товара;
5353534533;amazon;М. Корддрайу;2016;Управление главными вычислительными устройствами;
65635353;amazon;Т. Сигнетти;2019;Многофункциональная идентификация виртуального вычислительного узла;
53453234;amazon;Г. Рот;2018;Формирование ключа в зависимости от параметра;
